question_id,question_text,option_a,option_b,option_c,option_d,correct_option,category,difficulty_level
Q47,What is 8 ÷ 1?,5,3,8,7,C,Math,Medium
Q48,What is 10 - 2?,4,8,12,13,B,Math,Easy
Q49,What is 47 - 46?,5,2,3,1,D,Math,Medium
Q50,What is 26 + 4?,30,31,35,36,A,Math,Medium
Q51,What is 20 - 4?,16,14,18,15,A,Math,Easy
Q52,What is 55 - 18?,35,37,33,40,B,Math,Medium
Q53,What is 71 - 14?,66,50,56,57,D,Math,Hard
Q54,What is 80 ÷ 10?,8,11,9,12,A,Math,Medium
Q55,What is 24 - 8?,16,20,19,11,A,Math,Easy
Q56,What is 45 ÷ 9?,10,5,4,7,B,Math,Medium
Q57,What is 8 × 12?,96,104,82,77,A,Math,Medium
Q58,What is 9 × 2?,19,16,14,18,D,Math,Medium
Q59,What is 4 + 38?,42,35,48,46,A,Math,Medium
Q60,What is 4 ÷ 1?,4,5,0,2,A,Math,Medium
Q61,What is 47 - 40?,5,7,6,9,B,Math,Medium
Q62,What is 56 + 75?,131,134,142,138,A,Math,Hard
Q63,What is 23 + 72?,99,95,100,83,B,Math,Hard
Q64,What is 5 × 5?,26,25,29,20,B,Math,Easy
Q65,What is 77 + 23?,100,110,85,108,A,Math,Hard
Q66,What is 13 - 6?,9,7,4,2,B,Math,Easy
Q67,What is 54 + 75?,118,129,106,154,B,Math,Hard
Q68,What is 30 - 15?,12,11,15,19,C,Math,Medium
Q69,What is 67 - 2?,65,57,75,77,A,Math,Hard
Q70,What is 34 - 22?,12,10,13,14,A,Math,Medium
Q71,What is 77 - 11?,66,54,76,72,A,Math,Hard
Q72,What is 27 ÷ 9?,3,0,2,1,A,Math,Medium
Q73,What is 7 × 3?,22,24,18,21,D,Math,Medium
Q74,What is 26 + 36?,56,67,51,62,D,Math,Medium
Q75,What is 15 + 10?,20,26,25,29,C,Math,Easy
Q76,What is 44 - 35?,8,9,5,10,B,Math,Medium
Q77,What is 6 × 11?,67,66,61,58,B,Math,Medium
Q78,What is 12 × 12?,120,161,144,141,C,Math,Medium
Q79,What is 7 × 5?,34,29,35,33,C,Math,Medium
Q80,What is 24 + 46?,71,68,81,70,D,Math,Medium
Q81,What is 70 + 61?,138,131,117,110,B,Math,Hard
Q82,What is 53 - 24?,30,29,34,25,B,Math,Medium
Q83,What is 19 - 17?,5,2,3,6,B,Math,Easy
Q84,What is 76 + 22?,86,98,106,90,B,Math,Hard
Q85,What is 78 - 46?,27,26,36,32,D,Math,Hard
Q86,What is 11 × 12?,106,132,156,140,B,Math,Medium
Q87,What is 2 ÷ 2?,2,1,0,4,B,Math,Medium
Q88,What is 60 + 55?,115,109,124,118,A,Math,Hard
Q89,What is 1 × 1?,5,4,1,3,C,Math,Easy
Q90,What is 6 × 9?,46,58,61,54,D,Math,Medium
Q91,What is 53 + 9?,53,62,74,56,B,Math,Hard
Q92,What is 3 ÷ 3?,1,4,6,3,A,Math,Medium
Q93,What is 71 + 65?,136,134,118,138,A,Math,Hard
Q94,What is 12 × 5?,53,62,65,60,D,Math,Medium
Q95,What is 20 + 42?,53,62,70,50,B,Math,Medium
Q96,What is 3 - 1?,2,5,1,0,A,Math,Easy
Q97,What is 4 × 1?,3,0,4,5,C,Math,Easy
Q98,What is 42 - 37?,3,9,5,1,C,Math,Medium
Q99,What is 9 × 9?,69,86,72,81,D,Math,Medium
Q100,What is 48 ÷ 6?,13,6,8,11,C,Math,Medium
Q101,What is 20 - 8?,12,14,15,9,A,Math,Easy
Q102,What is 5 × 11?,55,50,45,56,A,Math,Medium
Q103,What is 44 - 5?,32,40,39,38,C,Math,Medium
Q104,What is 1 × 9?,9,6,5,4,A,Math,Medium
Q105,What is 4 × 11?,45,44,40,48,B,Math,Medium
Q106,What is 50 + 75?,106,125,119,135,B,Math,Hard
Q107,What is 65 - 5?,72,69,63,60,D,Math,Hard
Q108,What is 14 + 20?,34,31,32,30,A,Math,Medium
Q109,What is 23 - 13?,10,13,14,11,A,Math,Easy
Q110,What is 2 - 1?,1,3,0,2,A,Math,Easy
Q111,What is 70 + 29?,86,99,82,113,B,Math,Hard
Q112,What is 76 - 17?,62,54,67,59,D,Math,Hard
Q113,What is 65 + 32?,86,112,96,97,D,Math,Hard
Q114,What is 64 + 71?,158,138,135,154,C,Math,Hard
Q115,What is 63 + 19?,94,82,72,68,B,Math,Hard
Q116,What is 69 - 27?,37,42,36,47,B,Math,Hard
Q117,What is 9 × 2?,14,13,19,18,D,Math,Medium
Q118,What is 30 + 51?,97,81,72,89,B,Math,Hard
Q119,What is 46 + 55?,101,92,81,96,A,Math,Hard
Q120,What is 64 + 51?,102,99,115,136,C,Math,Hard
Q121,What is 15 + 30?,45,53,51,37,A,Math,Medium
Q122,What is 55 + 32?,87,89,71,79,A,Math,Hard
Q123,What is 3 + 54?,67,63,57,52,C,Math,Hard
Q124,What is 35 + 56?,91,80,102,75,A,Math,Hard
Q125,What is 60 ÷ 10?,4,7,6,3,C,Math,Medium
Q126,What is 71 - 11?,68,58,60,52,C,Math,Hard
Q127,What is 2 × 9?,18,22,15,19,A,Math,Medium
Q128,What is 90 ÷ 10?,9,12,4,11,A,Math,Medium
Q129,What is 4 ÷ 1?,7,4,1,9,B,Math,Medium
Q130,What is 8 × 5?,45,40,36,38,B,Math,Medium
Q131,What is 57 + 22?,68,91,79,74,C,Math,Hard
Q132,What is 132 ÷ 12?,14,11,15,12,B,Math,Medium
Q133,What is 40 + 55?,110,95,83,88,B,Math,Hard
Q134,What is 70 - 51?,19,18,20,15,A,Math,Hard
Q135,What is 6 × 10?,56,71,60,67,C,Math,Medium
Q136,What is 41 - 13?,28,27,23,24,A,Math,Medium
Q137,What is 78 - 69?,9,8,7,6,A,Math,Hard
Q138,What is 2 × 5?,10,11,14,9,A,Math,Easy
Q139,What is 12 × 8?,104,96,106,87,B,Math,Medium
Q140,What is 6 × 5?,30,28,35,31,A,Math,Easy
Q141,What is 8 × 6?,54,48,51,42,B,Math,Medium
Q142,What is 3 × 5?,16,15,10,17,B,Math,Easy
Q143,What is 9 + 37?,47,44,46,38,C,Math,Medium
Q144,What is 8 × 2?,20,16,18,21,B,Math,Medium
Q145,What is 18 + 5?,23,22,24,18,A,Math,Easy
Q146,What is 8 ÷ 2?,9,8,2,4,D,Math,Medium
Q147,What is 69 - 25?,41,36,52,44,D,Math,Hard
Q148,What is 46 + 14?,55,60,68,61,B,Math,Medium
Q149,What is 60 + 45?,92,105,118,88,B,Math,Hard
Q150,What is 29 - 1?,28,24,33,25,A,Math,Easy
Q151,What is 110 ÷ 11?,10,9,11,8,A,Math,Medium
Q152,What is 1 ÷ 1?,0,3,2,1,D,Math,Medium
Q153,What is 60 + 68?,118,128,137,149,B,Math,Hard
Q154,What is 80 + 80?,190,181,175,160,D,Math,Hard
Q155,What is 11 × 1?,7,11,6,13,B,Math,Medium
Q156,What is 27 - 13?,15,11,18,14,D,Math,Easy
Q157,What is 36 ÷ 4?,9,4,13,8,A,Math,Medium
Q158,What is 72 + 63?,129,112,152,135,D,Math,Hard
Q159,What is 13 - 3?,11,10,13,9,B,Math,Easy
Q160,What is 12 ÷ 4?,0,8,3,7,C,Math,Medium
Q161,What is 66 - 48?,18,17,22,19,A,Math,Hard
Q162,What is 24 - 18?,2,4,6,7,C,Math,Easy
Q163,What is 59 + 64?,131,104,123,144,C,Math,Hard
Q164,What is 57 - 4?,54,59,48,53,D,Math,Medium
Q165,What is 11 × 5?,57,44,55,60,C,Math,Medium
Q166,What is 8 - 6?,3,2,0,7,B,Math,Easy
Q167,What is 120 ÷ 12?,14,9,12,10,D,Math,Medium
Q168,What is 30 ÷ 5?,6,10,4,7,A,Math,Medium
Q169,What is 36 ÷ 6?,11,8,10,6,D,Math,Medium
Q170,What is 46 + 62?,112,108,120,105,B,Math,Hard
Q171,What is 3 ÷ 3?,1,0,5,4,A,Math,Medium
Q172,What is 75 - 60?,15,13,11,16,A,Math,Hard
Q173,What is 78 + 9?,73,102,87,84,C,Math,Hard
Q174,What is 14 - 3?,11,12,9,8,A,Math,Easy
Q175,What is 9 - 8?,1,4,0,6,A,Math,Easy
Q176,What is 49 + 53?,90,102,96,120,B,Math,Hard
Q177,What is 18 - 15?,2,4,3,0,C,Math,Easy
Q178,What is 10 × 1?,10,12,6,15,A,Math,Medium
Q179,What is 50 - 7?,50,49,36,43,D,Math,Medium
Q180,What is 144 ÷ 12?,12,11,15,7,A,Math,Medium
Q181,What is 12 × 8?,96,100,95,82,A,Math,Medium
Q182,What is 12 ÷ 3?,4,3,2,5,A,Math,Medium
Q183,What is 36 + 65?,111,101,91,106,B,Math,Hard
Q184,What is 80 - 70?,5,15,12,10,D,Math,Hard
Q185,What is 21 + 77?,98,103,91,105,A,Math,Hard
Q186,What is 73 + 49?,141,143,102,122,D,Math,Hard
Q187,What is 29 - 3?,26,30,28,22,A,Math,Easy
Q188,What is 11 × 5?,60,50,57,55,D,Math,Medium
Q189,What is 31 - 14?,16,21,17,12,C,Math,Medium
Q190,What is 2 × 9?,23,18,14,21,B,Math,Medium
Q191,What is 18 ÷ 3?,3,6,7,5,B,Math,Medium
Q192,What is 23 + 79?,122,121,102,104,C,Math,Hard
Q193,What is 60 + 75?,153,131,135,159,C,Math,Hard
Q194,What is 26 + 47?,60,64,73,79,C,Math,Medium
Q195,What is 70 + 45?,138,128,117,115,D,Math,Hard
Q196,What is 22 - 17?,5,7,4,1,A,Math,Easy
Q197,What is 1 × 2?,2,7,3,5,A,Math,Easy
Q198,What is 17 + 46?,63,70,72,64,A,Math,Medium
Q199,What is 61 + 7?,79,68,56,65,B,Math,Hard
Q200,What is 45 + 78?,117,123,107,139,B,Math,Hard
Q201,"Find the odd one out: Giraffe, Rabbit, Blue, Zebra.",Giraffe,Rabbit,Blue,Zebra,C,Logic,Easy
Q202,"Find the odd one out: Dog, Zebra, Orange, Tiger.",Dog,Zebra,Orange,Tiger,C,Logic,Easy
Q203,"Find the odd one out: Bicycle, Tractor, Plane, Sofa.",Bicycle,Tractor,Plane,Sofa,D,Logic,Medium
Q204,"Find the odd one out: Plane, Pear, Motorbike, Bus.",Plane,Pear,Motorbike,Bus,B,Logic,Easy
Q205,"Find the odd one out: Octagon, Diamond, Square, Wardrobe.",Octagon,Diamond,Square,Wardrobe,D,Logic,Easy
Q206,"Find the odd one out: Apple, Kiwi, Cherry, Car.",Apple,Kiwi,Cherry,Car,D,Logic,Medium
Q207,"Find the odd one out: Oval, Hexagon, Orange, Square.",Oval,Hexagon,Orange,Square,C,Logic,Easy
Q208,"Find the odd one out: Stool, Pear, Bed, Wardrobe.",Stool,Pear,Bed,Wardrobe,B,Logic,Medium
Q209,"Find the odd one out: Rectangle, Zebra, Oval, Star.",Rectangle,Zebra,Oval,Star,B,Logic,Medium
Q210,"Find the odd one out: Pineapple, Peach, Plum, Hexagon.",Pineapple,Peach,Plum,Hexagon,D,Logic,Easy
Q211,"Find the odd one out: White, Orange, Triangle, Grey.",White,Orange,Triangle,Grey,C,Logic,Medium
Q212,"Find the odd one out: Pink, Elephant, Giraffe, Tiger.",Pink,Elephant,Giraffe,Tiger,A,Logic,Easy
Q213,"Find the odd one out: Bear, Sofa, Rabbit, Zebra.",Bear,Sofa,Rabbit,Zebra,B,Logic,Easy
Q214,"Find the odd one out: Triangle, Oval, Pear, Pentagon.",Triangle,Oval,Pear,Pentagon,C,Logic,Easy
Q215,"Find the odd one out: Grapes, Lion, Banana, Plum.",Grapes,Lion,Banana,Plum,B,Logic,Medium
Q216,"Find the odd one out: Grapes, Plum, Elephant, Pear.",Grapes,Plum,Elephant,Pear,C,Logic,Medium
Q217,"Find the odd one out: Radish, Car, Corn, Tomato.",Radish,Car,Corn,Tomato,B,Logic,Medium
Q218,"Find the odd one out: Radish, Shelf, Pea, Tomato.",Radish,Shelf,Pea,Tomato,B,Logic,Medium
Q219,"Find the odd one out: Black, Boat, Yellow, Orange.",Black,Boat,Yellow,Orange,B,Logic,Medium
Q220,"Find the odd one out: Oval, Green, Triangle, Octagon.",Oval,Green,Triangle,Octagon,B,Logic,Easy
Q221,"Find the odd one out: Table, Cupboard, Dresser, Pineapple.",Table,Cupboard,Dresser,Pineapple,D,Logic,Easy
Q222,"Find the odd one out: Corn, Beetroot, Onion, Tractor.",Corn,Beetroot,Onion,Tractor,D,Logic,Easy
Q223,"Find the odd one out: Peach, Pear, Shelf, Papaya.",Peach,Pear,Shelf,Papaya,C,Logic,Easy
Q224,"Find the odd one out: Orange, Circle, Red, Black.",Orange,Circle,Red,Black,B,Logic,Easy
Q225,"Find the odd one out: Peach, Kangaroo, Grapes, Banana.",Peach,Kangaroo,Grapes,Banana,B,Logic,Easy
Q226,"Find the odd one out: Cat, Fox, Orange, Wolf.",Cat,Fox,Orange,Wolf,C,Logic,Easy
Q227,"Find the odd one out: Dresser, Wardrobe, Shelf, Black.",Dresser,Wardrobe,Shelf,Black,D,Logic,Medium
Q228,"Find the odd one out: Helicopter, Red, Ship, Van.",Helicopter,Red,Ship,Van,B,Logic,Medium
Q229,"Find the odd one out: Cyan, Brown, Bus, Purple.",Cyan,Brown,Bus,Purple,C,Logic,Medium
Q230,"Find the odd one out: Banana, Papaya, Diamond, Pear.",Banana,Papaya,Diamond,Pear,C,Logic,Easy
Q231,"Find the odd one out: Trapezoid, Rectangle, Heart, Motorbike.",Trapezoid,Rectangle,Heart,Motorbike,D,Logic,Easy
Q232,"Find the odd one out: Tiger, Cat, Van, Zebra.",Tiger,Cat,Van,Zebra,C,Logic,Easy
Q233,"Find the odd one out: Truck, Red, Van, Car.",Truck,Red,Van,Car,B,Logic,Medium
Q234,"Find the odd one out: Purple, Beetroot, Grey, Orange.",Purple,Beetroot,Grey,Orange,B,Logic,Easy
Q235,"Find the odd one out: Beetroot, Pink, Carrot, Cabbage.",Beetroot,Pink,Carrot,Cabbage,B,Logic,Medium
Q236,"Find the odd one out: Diamond, Heart, Wolf, Circle.",Diamond,Heart,Wolf,Circle,C,Logic,Easy
Q237,"Find the odd one out: Chair, Couch, Table, Brown.",Chair,Couch,Table,Brown,D,Logic,Easy
Q238,"Find the odd one out: Elephant, Tiger, Orange, Bear.",Elephant,Tiger,Orange,Bear,C,Logic,Medium
Q239,"Find the odd one out: Purple, Green, Banana, Pink.",Purple,Green,Banana,Pink,C,Logic,Medium
Q240,"Find the odd one out: Pumpkin, Peach, Grapes, Orange.",Pumpkin,Peach,Grapes,Orange,A,Logic,Medium
Q241,"Find the odd one out: Grapes, Kiwi, Orange, Orange.",Grapes,Kiwi,Orange,Orange,C,Logic,Easy
Q242,"Find the odd one out: Broccoli, Potato, Pea, Dresser.",Broccoli,Potato,Pea,Dresser,D,Logic,Easy
Q243,"Find the odd one out: Orange, Pear, Car, Cherry.",Orange,Pear,Car,Cherry,C,Logic,Medium
Q244,"Find the odd one out: Stool, Broccoli, Cupboard, Chair.",Stool,Broccoli,Cupboard,Chair,B,Logic,Medium
Q245,"Find the odd one out: Pea, Sofa, Potato, Radish.",Pea,Sofa,Potato,Radish,B,Logic,Easy
Q246,"Find the odd one out: Purple, Table, Green, Yellow.",Purple,Table,Green,Yellow,B,Logic,Medium
Q247,"Find the odd one out: Oval, Hexagon, Diamond, Pink.",Oval,Hexagon,Diamond,Pink,D,Logic,Easy
Q248,"Find the odd one out: Red, Car, Tractor, Plane.",Red,Car,Tractor,Plane,A,Logic,Easy
Q249,"Find the odd one out: Chair, Desk, Dresser, Orange.",Chair,Desk,Dresser,Orange,D,Logic,Medium
Q250,"Find the odd one out: Wolf, Lion, Cat, Peach.",Wolf,Lion,Cat,Peach,D,Logic,Easy
Q251,"Find the odd one out: Giraffe, Apple, Cherry, Kiwi.",Giraffe,Apple,Cherry,Kiwi,A,Logic,Medium
Q252,"Find the odd one out: Pea, Radish, Corn, Grapes.",Pea,Radish,Corn,Grapes,D,Logic,Easy
Q253,"Find the odd one out: Corn, Peach, Kiwi, Pineapple.",Corn,Peach,Kiwi,Pineapple,A,Logic,Medium
Q254,"Find the odd one out: Giraffe, Elephant, Plane, Kangaroo.",Giraffe,Elephant,Plane,Kangaroo,C,Logic,Easy
Q255,"Find the odd one out: Banana, Cherry, Radish, Grapes.",Banana,Cherry,Radish,Grapes,C,Logic,Medium
Q256,"Find the odd one out: Purple, Grey, Orange, Pear.",Purple,Grey,Orange,Pear,D,Logic,Easy
Q257,"Find the odd one out: White, Radish, Red, Purple.",White,Radish,Red,Purple,B,Logic,Medium
Q258,"Find the odd one out: Motorbike, Orange, White, Grey.",Motorbike,Orange,White,Grey,A,Logic,Medium
Q259,"Find the odd one out: Stool, Desk, Broccoli, Cupboard.",Stool,Desk,Broccoli,Cupboard,C,Logic,Medium
Q260,"Find the odd one out: Cupboard, Spinach, Bench, Shelf.",Cupboard,Spinach,Bench,Shelf,B,Logic,Easy
Q261,"Find the odd one out: Elephant, Orange, Kangaroo, Rabbit.",Elephant,Orange,Kangaroo,Rabbit,B,Logic,Easy
Q262,"Find the odd one out: Cherry, Mango, Papaya, Zebra.",Cherry,Mango,Papaya,Zebra,D,Logic,Easy
Q263,"Find the odd one out: Papaya, Star, Grapes, Kiwi.",Papaya,Star,Grapes,Kiwi,B,Logic,Medium
Q264,"Find the odd one out: Peach, Orange, White, Green.",Peach,Orange,White,Green,A,Logic,Easy
Q265,"Find the odd one out: Wolf, Trapezoid, Giraffe, Zebra.",Wolf,Trapezoid,Giraffe,Zebra,B,Logic,Medium
Q266,"Find the odd one out: Mango, Peach, Scooter, Plum.",Mango,Peach,Scooter,Plum,C,Logic,Medium
Q267,"Find the odd one out: Grey, Cyan, Black, Kiwi.",Grey,Cyan,Black,Kiwi,D,Logic,Easy
Q268,"Find the odd one out: Car, Tractor, Plane, Dresser.",Car,Tractor,Plane,Dresser,D,Logic,Medium
Q269,"Find the odd one out: Cupboard, Bus, Van, Ship.",Cupboard,Bus,Van,Ship,A,Logic,Medium
Q270,"Find the odd one out: Brown, Shelf, Green, Red.",Brown,Shelf,Green,Red,B,Logic,Easy
Q271,"Find the odd one out: Tiger, Rabbit, Carrot, Lion.",Tiger,Rabbit,Carrot,Lion,C,Logic,Medium
Q272,"Find the odd one out: Desk, Scooter, Van, Helicopter.",Desk,Scooter,Van,Helicopter,A,Logic,Medium
Q273,"Find the odd one out: Couch, Cyan, Bench, Table.",Couch,Cyan,Bench,Table,B,Logic,Easy
Q274,"Find the odd one out: Tiger, Fox, Rectangle, Dog.",Tiger,Fox,Rectangle,Dog,C,Logic,Medium
Q275,"Find the odd one out: Cupboard, Bicycle, Ship, Motorbike.",Cupboard,Bicycle,Ship,Motorbike,A,Logic,Medium
Q276,"Find the odd one out: White, Purple, Black, Rectangle.",White,Purple,Black,Rectangle,D,Logic,Easy
Q277,"Find the odd one out: Bus, Square, Tractor, Plane.",Bus,Square,Tractor,Plane,B,Logic,Medium
Q278,"Find the odd one out: Star, Tiger, Cat, Lion.",Star,Tiger,Cat,Lion,A,Logic,Easy
Q279,"Find the odd one out: Mango, Plum, Pineapple, Couch.",Mango,Plum,Pineapple,Couch,D,Logic,Medium
Q280,"Find the odd one out: Car, Bicycle, Pea, Motorbike.",Car,Bicycle,Pea,Motorbike,C,Logic,Easy
Q281,"Find the odd one out: Bear, Bench, Couch, Shelf.",Bear,Bench,Couch,Shelf,A,Logic,Easy
Q282,"Find the odd one out: Broccoli, Cabbage, Corn, Triangle.",Broccoli,Cabbage,Corn,Triangle,D,Logic,Easy
Q283,"Find the odd one out: Bed, Fox, Wolf, Kangaroo.",Bed,Fox,Wolf,Kangaroo,A,Logic,Medium
Q284,"Find the odd one out: Orange, Kiwi, Cyan, Brown.",Orange,Kiwi,Cyan,Brown,B,Logic,Medium
Q285,"Find the odd one out: Mango, Truck, Plum, Papaya.",Mango,Truck,Plum,Papaya,B,Logic,Medium
Q286,"Find the odd one out: Beetroot, Pea, Purple, Potato.",Beetroot,Pea,Purple,Potato,C,Logic,Medium
Q287,"Find the odd one out: Grey, Orange, Orange, Yellow.",Grey,Orange,Orange,Yellow,B,Logic,Easy
Q288,"Find the odd one out: Circle, Pea, Oval, Pentagon.",Circle,Pea,Oval,Pentagon,B,Logic,Easy
Q289,"Find the odd one out: Fox, Couch, Bear, Tiger.",Fox,Couch,Bear,Tiger,B,Logic,Easy
Q290,"Find the odd one out: Grey, Brown, Green, Boat.",Grey,Brown,Green,Boat,D,Logic,Medium
Q291,"Find the odd one out: Lion, Diamond, Oval, Heart.",Lion,Diamond,Oval,Heart,A,Logic,Medium
Q292,"Find the odd one out: Orange, Yellow, Pink, Plane.",Orange,Yellow,Pink,Plane,D,Logic,Medium
Q293,"Find the odd one out: Green, White, Pineapple, Red.",Green,White,Pineapple,Red,C,Logic,Easy
Q294,"Find the odd one out: Desk, Grey, Brown, White.",Desk,Grey,Brown,White,A,Logic,Easy
Q295,"Find the odd one out: Kiwi, Table, Papaya, Orange.",Kiwi,Table,Papaya,Orange,B,Logic,Easy
Q296,"Find the odd one out: Broccoli, Elephant, Tomato, Onion.",Broccoli,Elephant,Tomato,Onion,B,Logic,Medium
Q297,"Find the odd one out: White, Onion, Brown, Orange.",White,Onion,Brown,Orange,B,Logic,Easy
Q298,"Find the odd one out: Hexagon, Rectangle, Cat, Square.",Hexagon,Rectangle,Cat,Square,C,Logic,Easy
Q299,"Find the odd one out: Pineapple, Peach, Rectangle, Mango.",Pineapple,Peach,Rectangle,Mango,C,Logic,Medium
Q300,"Find the odd one out: Circle, Onion, Trapezoid, Star.",Circle,Onion,Trapezoid,Star,B,Logic,Easy
Q301,"Find the odd one out: Peach, Giraffe, Papaya, Orange.",Peach,Giraffe,Papaya,Orange,B,Logic,Medium
Q302,"Find the odd one out: Lion, Square, Kangaroo, Tiger.",Lion,Square,Kangaroo,Tiger,B,Logic,Medium
Q303,"Find the odd one out: Grey, Green, Black, Mango.",Grey,Green,Black,Mango,D,Logic,Medium
Q304,"Find the odd one out: Chair, Boat, Table, Bench.",Chair,Boat,Table,Bench,B,Logic,Medium
Q305,"Find the odd one out: Plum, Pineapple, Red, Peach.",Plum,Pineapple,Red,Peach,C,Logic,Medium
Q306,"Find the odd one out: Pear, Papaya, Plum, Blue.",Pear,Papaya,Plum,Blue,D,Logic,Easy
Q307,"Find the odd one out: Orange, Pear, Pineapple, Oval.",Orange,Pear,Pineapple,Oval,D,Logic,Medium
Q308,"Find the odd one out: Chair, Wardrobe, Tiger, Bench.",Chair,Wardrobe,Tiger,Bench,C,Logic,Easy
Q309,"Find the odd one out: Spinach, Tomato, Pumpkin, Boat.",Spinach,Tomato,Pumpkin,Boat,D,Logic,Easy
Q310,"Find the odd one out: Shelf, White, Cupboard, Bed.",Shelf,White,Cupboard,Bed,B,Logic,Easy
Q311,"Find the odd one out: Grapes, Banana, Carrot, Cherry.",Grapes,Banana,Carrot,Cherry,C,Logic,Easy
Q312,"Find the odd one out: Apple, Orange, Peach, Onion.",Apple,Orange,Peach,Onion,D,Logic,Easy
Q313,"Find the odd one out: Bench, Star, Bed, Table.",Bench,Star,Bed,Table,B,Logic,Easy
Q314,"Find the odd one out: Wolf, White, Purple, Grey.",Wolf,White,Purple,Grey,A,Logic,Medium
Q315,"Find the odd one out: Apple, Fox, Papaya, Kiwi.",Apple,Fox,Papaya,Kiwi,B,Logic,Easy
Q316,"Find the odd one out: Bed, Carrot, Radish, Onion.",Bed,Carrot,Radish,Onion,A,Logic,Medium
Q317,"Find the odd one out: Car, Scooter, Helicopter, Shelf.",Car,Scooter,Helicopter,Shelf,D,Logic,Medium
Q318,"Find the odd one out: Octagon, Circle, Pentagon, Lion.",Octagon,Circle,Pentagon,Lion,D,Logic,Medium
Q319,"Find the odd one out: Car, Peach, Plane, Van.",Car,Peach,Plane,Van,B,Logic,Medium
Q320,"Find the odd one out: Spinach, Chair, Radish, Tomato.",Spinach,Chair,Radish,Tomato,B,Logic,Easy
Q321,"Find the odd one out: Spinach, Cupboard, Corn, Potato.",Spinach,Cupboard,Corn,Potato,B,Logic,Easy
Q322,"Find the odd one out: Couch, Pink, Brown, Purple.",Couch,Pink,Brown,Purple,A,Logic,Easy
Q323,"Find the odd one out: Van, Bicycle, Bear, Boat.",Van,Bicycle,Bear,Boat,C,Logic,Medium
Q324,"Find the odd one out: Ship, Boat, Van, Rectangle.",Ship,Boat,Van,Rectangle,D,Logic,Easy
Q325,"Find the odd one out: Van, Truck, Car, Square.",Van,Truck,Car,Square,D,Logic,Easy
Q326,"Find the odd one out: Zebra, Pear, Mango, Banana.",Zebra,Pear,Mango,Banana,A,Logic,Medium
Q327,"Find the odd one out: Cyan, Cupboard, Bench, Bed.",Cyan,Cupboard,Bench,Bed,A,Logic,Medium
Q328,"Find the odd one out: Red, White, Table, Cyan.",Red,White,Table,Cyan,C,Logic,Easy
